business_id,name,city,state,stars,text,review_id,date,categories
biz_000,Joe's Pizza,Bronx,NY,3,Food was cold and service was slow.,rev_000_000,2024-05-07,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,1,Food was cold and service was slow.,rev_000_001,2024-04-08,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,1,"Terrible experience, would not return.",rev_000_002,2024-06-02,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,5,Outstanding restaurant with friendly staff!,rev_000_003,2024-06-12,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,5,Poor service and mediocre food. Disappointed.,rev_000_004,2024-12-28,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,1,"Terrible experience, would not return.",rev_000_005,2024-12-23,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,1,Poor service and mediocre food. Disappointed.,rev_000_006,2024-07-21,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,3,"Terrible experience, would not return.",rev_000_007,2024-02-26,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,4,Outstanding restaurant with friendly staff!,rev_000_008,2024-12-07,"Restaurants, Food"
biz_000,Joe's Pizza,New York,NY,1,"Not worth the money, poor quality.",rev_000_009,2024-04-18,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,2,"Terrible experience, would not return.",rev_000_010,2024-04-22,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,5,"Average experience, nothing special but decent.",rev_000_011,2024-10-04,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,2,"Not worth the money, poor quality.",rev_000_012,2024-09-08,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,1,Poor service and mediocre food. Disappointed.,rev_000_013,2024-08-26,"Restaurants, Food"
biz_000,Joe's Pizza,New York,NY,2,"Not worth the money, poor quality.",rev_000_014,2024-01-25,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,2,"Not worth the money, poor quality.",rev_000_015,2024-03-17,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,3,Food was cold and service was slow.,rev_000_016,2024-10-07,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,3,"Not worth the money, poor quality.",rev_000_017,2024-02-01,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,4,"Perfect dinner spot, loved everything!",rev_000_018,2024-12-08,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,5,Poor service and mediocre food. Disappointed.,rev_000_019,2024-03-01,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,3,Food was cold and service was slow.,rev_000_020,2024-09-15,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,2,"Terrible experience, would not return.",rev_000_021,2024-07-17,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,5,Amazing atmosphere and delicious meals!,rev_000_022,2024-11-04,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,1,Food was cold and service was slow.,rev_000_023,2024-02-10,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,1,Poor service and mediocre food. Disappointed.,rev_000_024,2024-12-12,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,5,"Perfect dinner spot, loved everything!",rev_000_025,2024-07-28,"Restaurants, Food"
biz_000,Joe's Pizza,New York,NY,4,"Perfect dinner spot, loved everything!",rev_000_026,2024-11-25,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,2,Poor service and mediocre food. Disappointed.,rev_000_027,2024-09-05,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,2,"Terrible experience, would not return.",rev_000_028,2024-06-24,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,1,Poor service and mediocre food. Disappointed.,rev_000_029,2024-04-12,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,5,"Average experience, nothing special but decent.",rev_000_030,2024-01-24,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,5,Great food and excellent service! Highly recommend.,rev_000_031,2024-06-23,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,5,Great food and excellent service! Highly recommend.,rev_000_032,2024-05-12,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,1,"Terrible experience, would not return.",rev_000_033,2024-07-11,"Restaurants, Food"
biz_000,Joe's Pizza,Bronx,NY,3,Poor service and mediocre food. Disappointed.,rev_000_034,2024-04-02,"Restaurants, Food"
biz_000,Joe's Pizza,New York,NY,3,Food was cold and service was slow.,rev_000_035,2024-09-28,"Restaurants, Food"
biz_000,Joe's Pizza,Queens,NY,1,"Not worth the money, poor quality.",rev_000_036,2024-12-27,"Restaurants, Food"
biz_000,Joe's Pizza,Manhattan,NY,5,"Average experience, nothing special but decent.",rev_000_037,2024-04-07,"Restaurants, Food"
biz_000,Joe's Pizza,Brooklyn,NY,4,Great food and excellent service! Highly recommend.,rev_000_038,2024-08-01,"Restaurants, Food"
